id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type
C2-01,C2,3 join live lesson,/custdash/learninghub?child=..(kid),features/learninghub/family/KidMode.tsx,Home next-lesson Join button,"Join lesson does nothing: go('live') is blocked because live is not in KID_TABS so the hub falls back to home",4,weekly,"KidMode.tsx:15 KID_TABS lacks live; LearningHubApp.tsx:85 forces home; StudentHome.tsx:150 onGo go('live')",Add live to KID_TABS or open the lobby directly from Join; keep the Grown-ups gate for exit only,child
C2-02,C2,4 see progress,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,How I'm doing card,"See progress button goes to dashboard which is not a kid tab so nothing happens; hero also says 'Take a look at your progress'",3,daily,"StudentHome.tsx:243 go('dashboard'); :222 empty action; :132 hero text; KidMode.tsx:15",Add a simple kid 'My progress' tab or remove the button and text in kid mode,child
C2-03,C2,1 what now,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,Home layout,"The real next step 'Keep going' is the last block; 8+ blocks and ~200 words before first action and four competing buttons (Join, Review now, Open, Start quiz)",3,daily,"StudentHome.tsx:124 hero .. :252 Keep going; first task button at :157 Review now",Move Keep going (or a single Do this now) to the top and shrink hero to greeting + streak,child
C2-04,C2,4 see progress,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,My level vs How I'm doing,"Contradictory numbers: My level 75% (mean) vs ring 78% (strongest subject) vs 'No results yet' beside them",3,daily,"01c-data-truth.md s3.2 s3.4; StudentHome.tsx:213,224; Attainment.tsx",Show one named number or none; hide How I'm doing when no results; kid Home shows streak and count this week,child
C2-05,C2,2 wrong answers,quiz result,features/learninghub/shared-assess/ResultView.tsx,Result banner and tiles,"Three phrasings for a miss (Not yet / Not quite / Not there yet), red warning triangle and huge score ring on a low score; answer key may be hidden by tutor rule",2,weekly,"ResultView.tsx:112,194,220; StudentHome.tsx:266-270",One phrase 'Not yet' with sparkle icon not warning; lead with what to retry; show explanation by default for children,child
C2-06,C2,curriculum,Notes tab,features/learninghub/curriculum/CurriculumCard.tsx,What I've covered,"Adult grid: '% of the curriculum touched', 'topics started', Y1-Y6 columns; a low percent looks like I'm behind",2,weekly,"CurriculumCard.tsx:92,135,149,170",Kid mode: only 'You finished N lessons' and a tick list of topics; hide grid and percent,child
C2-07,C2,6 message tutor,Messages tab,features/learninghub/QuestionsPanel.tsx,New message composer,"No line saying who can read the message, no 'tell a grown-up if unsafe' and no grown-up route; Ask your tutor link is hidden in kid mode",3,rare,"QuestionsPanel.tsx:352 placeholder only; FamilyContext.tsx:147; StudentHome.tsx:104",Add one-line visibility and safety text under composer plus Talk to a grown-up button opening the gate,child
C2-08,C2,5 finished early,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,All done state,"Passive 'Every quiz done - brilliant' text; progress link dead; Tools not reachable in kid mode; nothing to do next",2,weekly,"StudentHome.tsx:132,266; KidMode.tsx:15 (no tools)",Show 3 bonus buttons: flashcards / redo a missed quiz / read a lesson,child
C2-09,C2,1 what now,tab strip,features/learninghub/HubTabs.tsx,Tabs in kid mode,"7 text tabs (Starting quiz, Notes, Quizzes, Homework, Flashcards, Messages, Home) with no icons or read-aloud; heavy for age 8; quizzes list has Locked / Finish a lesson to unlock groups",2,daily,"KidMode.tsx:15,20; StudentAssess.tsx:176,349",Icon + colour on tabs; hide Starting quiz tab unless a quiz needs it,child
C2-10,C2,1 what now,Home,features/learninghub/home/StudentHome.tsx,Copy,"Home is ~350 words; kid copy is third-person ('Ava's first quiz score will appear here') and 'Strongest topic / Focus next' with percentages",2,daily,"StudentHome.tsx:213,236-241",Second person short copy; drop Focus next percent for kids,child
