id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
X2-01,X2 DSL,a tutor messages a child,POST /api/learning-hub/doubts,server/src/routes/hub/doubtsApi.ts,Roster Message action,Any in-scope tutor can open a 1:1 thread to any enrolled child; no assignment check or DSL visibility,4,daily,doubtsApi.ts:96-116; teachingCommon.ts:40-53,Restrict to assigned tutorUid or explicit group; copy DSL mailbox; add report button for child/parent,admin
X2-02,X2 DSL,a tutor messages a child,POST /doubts,server/src/routes/hub/doubtsApi.ts,Message text,No scan for phone numbers/emails/links/keywords; text echoed in parent email,3,daily,doubtsApi.ts:38 and :111-114,Server-side pattern flag with hold-for-review; strip contact details,admin
X2-03,X2 DSL,DSL wants to review threads,GET /doubts,server/src/routes/hub/doubtsApi.ts,Questions tab,No DSL/HQ oversight list of tutor-child threads; seen flag overwrites without reader/time,3,weekly,doubtsApi.ts:137-143; :206-221,Read-only oversight view plus readBy/readAt log,admin
X2-04,X2 DSL,erase a child,DELETE /api/my/children/:id,server/src/lib/hubPrivacy.ts,Erase,hubDoubts (child text and thread) not erased or exported,4,rare,hubPrivacy.ts:24-132 has no hubDoubts; grep across my.ts/privacy.ts,Add hubDoubts to export and erase; test that lists every hub collection with childId,parent
X2-05,X2 DSL,erase a child,DELETE /api/my/children/:id,server/src/lib/hubPrivacy.ts,Erase,Notification bodies and remote-sync liveAnswers and uploaded board images survive erase,3,rare,hubPrivacy.ts:92-118 only childIds/attendance/elements,Erase liveAnswers[childId]; delete board image docs; purge notifications by ref,parent
X2-06,X2 DSL,parent asks who was in lesson,POST /lessons/:id/join,server/src/routes/hub/lessonsApi.ts,Join,No participant log; any in-scope tutor joins as owner; only first tutorJoinedAt kept,3,rare,lessonsApi.ts:441-445; :479,Record every join/leave with role and uid; restrict owner to assigned tutor plus named cover,parent
X2-07,X2 DSL,parent asks who saw data,GET /api/privacy/export,server/src/lib/hubPrivacy.ts,Export,No access log of staff viewing a child's data,3,rare,no read audit in hub routes,Log staff reads of child profile/threads and expose in export,parent
X2-08,X2 DSL,HQ view as tutor then button,x-act-as header,server/src/middleware/role.ts,Impersonation,Writes stamped as the tutor; no actedBy; audit is console.warn plus optional log call,4,rare,role.ts:138-150; platform.ts:32-40; doubtsApi.ts:174,Stamp actedBy on all writes; refuse messaging and joins while impersonating; server-side log on every act-as request,admin
X2-09,X2 DSL,HQ view as tutor then button,x-act-as header,components/shell/ImpersonationBar.tsx,Bar,Header works without calling the audit endpoint so impersonation can happen unlogged; parents/tutors get no notice,3,rare,role.ts:140 vs platform.ts:39,Make header valid only with a server-issued session id from /impersonate,admin
X2-10,X2 DSL,kid tries to leave hub,n/a,features/learninghub/family/ParentGate.tsx,Parent gate,Client-only sum with unlimited guesses; sessionStorage state,2,daily,ParentGate.tsx:8-21; KidMode.tsx:10,Add attempt lockout and optional parent PIN; keep server-side child context,child
X2-11,X2 DSL,live video safety,POST /lessons/:id/join,server/src/lib/hubVideo.ts,Room settings,Families may enter the room 10 mins early before tutor; no lobby; capacity up to 200,2,daily,hubVideo.ts:108-118; lessonsApi.ts:455,Require tutor-present before family token mint; set lobby,child
X2-12,X2 DSL,tool autosave,PUT /tools/state,server/src/routes/hub/toolsApi.ts,Tool state,Arbitrary JSON up to 64 KB stored under child key; writing tools promise nothing leaves device,2,weekly,toolsApi.ts:36,66-78; TimedWriting.tsx:81,Per-tool schema allow-list; forbid free-text tools from this route,child
X2-13,X2 DSL,child nudges,Student Home,features/learninghub/home/StudentHome.tsx,Streak flame,Streaks and keep-it-going copy on by default,2,daily,StudentHome.tsx:56-61,138-142,Setting to hide streaks; default to neutral progress,child
X2-14,X2 DSL,dev/test email,notifyFamilies,server/src/lib/mailer.ts,Mail gate,Safe by default (MAIL_LIVE off) but staging DB with MAIL_LIVE=1 would mail real parents,2,rare,mailer.ts:87-99; hubNotify.ts:47-76,Refuse MAIL_LIVE when NODE_ENV or project id is not production,admin
X2-15,X2 DSL,franchise scoping,GET /doubts,server/src/routes/hub/doubtsApi.ts,Inbox,Scoping correct but every tutor in a franchise sees every child's threads; tenant read then filter in memory,2,daily,doubtsApi.ts:137-139,Query by franchiseId and assigned tutor,admin
