id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
T5-01,T5,a-b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol modal empty list,Cannot enrol a child I name myself: empty list says No children to enrol yet; only route is invite link + parent account + wait,4,rare,"StudentsPanel.tsx:224-225,:101-130",Put invite first in empty state with native share sheet and prewritten message; consider tutor-typed pending child,tutor
T5-02,T5,a,/freelancer/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Home first screen,"No first-run guidance: 4 zero tiles + 5 'All clear' rows + 6 equal tiles, no order; Enrol is 5th",3,rare,"HubHero.tsx:149; TutorHome.tsx:32,:57-63,:163-170","When 0 students show a 3-step Get going card (enrol, pick lesson, set homework) and collapse zero cards",tutor
T5-03,T5,c,/freelancer/learninghub?tab=homework,features/learninghub/homework/hwPickers.tsx,Homework form Link lessons,"Lesson picker has only a title/body search and 190px list, no Year/Subject filter; 'Year 3 fractions' phrase finds nothing",3,weekly,"hwPickers.tsx:65,:85-91; learningHub.ts:539,:546",Add Year chips and subject select (server already supports year=) and split search into words,tutor
T5-04,T5,a,/freelancer (dashboard),features/learninghub/home/EnableHubCard.tsx,Enable card,Card title says Teaching Hub but button says Turn on the Learning Hub; no next step after turning on; Not now hides it forever,2,rare,"EnableHubCard.tsx:37,:42,:24",Use one name; after success show Open Teaching Hub button,admin
T5-05,T5,a,/freelancer/learninghub (hub off),features/learninghub/LearningHubApp.tsx,Hub-off state,Dead-end sentence 'isn't available on this account. It's off until you switch it on' and a Setup link instead of one-tap enable,2,rare,LearningHubApp.tsx:163-166,Inline Turn on button reusing EnableHubCard logic,admin
T5-06,T5,b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Invite flow,"Invitation sent outside app; no template, no share sheet, two similar boxes (page link vs invite link)",3,weekly,"StudentsPanel.tsx:101,:130,:259-274",Merge into one Invite a parent box with Share button,parent
T5-07,T5,f,/freelancer/learninghub,features/learninghub/HubTabs.tsx,Tab strip,"11 tabs, no icons under 1024px, ~3.5 visible at 390px, Homework needs 2+ swipes, 6 tabs irrelevant on day one; longest label is 'Student message centre'",3,daily,"HubTabs.tsx:113,:87-95; panels.tsx:31","Progressive disclosure: show 5 core tabs until first student, rest under More; shorten to Messages",tutor
T5-08,T5,c,/freelancer/learninghub,features/learninghub/NotesPanel.tsx;home/TutorHome.tsx;homework/TutorHomework.tsx,Assign homework entry points,"Three names (Assign homework / Set homework / Set for children), icon-only list action, segmented control that is also a button",2,daily,TutorHome.tsx:60; TutorHomework.tsx:126; NotesPanel.tsx:279,One verb everywhere: Set homework; label the row action,tutor
T5-09,T5,b-e,/freelancer/learninghub?tab=diagnostic,features/learninghub/quiz/PlacementGuide.tsx,Placement tab,Placement optional (requireDiagnostic false) but never said outside the tab; building needs questions a new tutor lacks; terms Diagnostic/Baseline/Starting quiz vary,2,rare,lib/hubConfig.ts:74; PlacementGuide.tsx:10-12; AssessmentList.tsx:170,Add Optional line and a link to use a ready-made placement test,tutor
T5-10,T5,b,/freelancer/learninghub?tab=live,features/learninghub/LiveLessonsPanel.tsx,Live lessons empty state,Empty state says Enrol a student first but no button to do so; Schedule button hidden until a student exists,2,rare,LiveLessonsPanel.tsx:208-210; TutorHomework.tsx:122,Show Enrol a student button in the no-student branch,tutor
T5-11,T5,d,/freelancer/learninghub?tab=tools,features/learninghub/tools/ToolsPanel.tsx,Tools tab,No purpose line; the meta blurb is not shown; many tiles greyed In build/Coming soon; KS1-KS5 jargon,2,rare,"ToolsPanel.tsx:14,:35-36,:73",Add one-line intro and link tools to quiz Tool question,tutor
T5-12,T5,a,/freelancer/learninghub?tab=home,features/learninghub/HubHero.tsx,Hero + stat tiles,Hero lede lists features not a first step; 4 stat tiles of 0 push the actions below the fold on a phone,2,rare,"HubHero.tsx:113-116,:149",Hide tiles when all zero; lede: Add your first student to begin,tutor
T5-13,T5,e,/freelancer/learninghub,features/learninghub/home/TutorHome.tsx,Quick actions,Teach in person sits alone in the 6th slot of a 2-col grid; the word combos Live lessons/Schedule video lesson/Teach in person are unexplained together,1,weekly,"TutorHome.tsx:57-63,:194-197","Add a hint: With a child beside you, quizzes on your device",tutor
T5-14,T5,b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol modal copy,"Jargon and assumptions: 'booked with you', 'your page link' with no explanation of my page",2,rare,StudentsPanel.tsx:225,Plain wording: Ask the parent to sign up with this link,parent
