id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type,round
C1-01,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/StudentHome.tsx,Kid Home,Kid Home is the parent dashboard: about 6 boxes and 30-45 words before the first button; the only 'what to do next' card is the LAST block,3,,"StudentHome.tsx:132-134,175,252","In kid mode put one huge 'Keep going' button with icon at the top; hide streak, level and stats boxes",,1
C1-02,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,lesson/slides/blocks.tsx,Audio (whole hub),No read-aloud for a pre-reader; speechSynthesis exists only inside one phonics block,4,,"lesson/slides/blocks.tsx:28-39,236","Add a speaker button on the Home CTA, question prompt and result headline using the existing speak()",,1
C1-03,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,HubTabs.tsx,Kid tab strip,Kid tabs are text-only 13px pills (icons hidden below 1024px); 'Starting quiz / Quizzes / Lessons' mean nothing to a 6-year-old,3,,"HubTabs.tsx:113; family/KidMode.tsx:15,20",Show icons at every width in kid mode and make tab labels bigger,,1
C1-04,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/StudentHome.tsx,Next lesson box,"Next-lesson button calls go('live'), which is not a kid tab, so the tap silently returns to Home",2,,StudentHome.tsx:148; LearningHubApp.tsx:85,Hide or replace that tap target in kid mode,,1
C1-05,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,home/homeKit.tsx,Load error,"Error reads ""The server didn't respond within 15s (http://localhost:4000). Is the API running?"" in a red box; only 'Try again' is usable",3,,home/homeKit.tsx:130-131; lib/api.ts:130,In kid mode show 'Oops!' with one big Retry button and hide the technical text,,1
C1-06,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Answering a real quiz,"No right/wrong reaction while answering, so no instant praise; correctness only shows at the end (Warm-up has it)",3,,"TakeAssessment.tsx:295-298; lesson/WarmupStep.tsx:17,114",Add a friendly per-question reaction (tick / 'try again') or at least a 'Saved!' animation,,1
C1-07,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/ResultView.tsx,Quiz result,"A miss is explained in percentages: 'You scored 40%, 25 points short of the 70% pass mark...' about 25 words",3,,"ResultView.tsx:114,126","Kid variant: stars, one line ('Nearly there!') and one big 'Try again' button; numbers under a grown-up fold",,1
C1-08,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Hand in,"Hand-in takes 3 screens of reading: Review answers, 'Ready to hand in?', 'You still have N unanswered' popup",2,,"TakeAssessment.tsx:298,318-319,343-346",For kids go from the last question to one 'All done!' button,,1
C1-09,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,homework/StudentHomework.tsx,Homework detail,"'Take the quiz' sits below small-print instructions, far from the title",2,,"StudentHomework.tsx:221,275",Put the main action directly under the title in kid mode,,1
C1-10,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Retake / blocked,Retake copy is a sentence: 'One attempt only. Ask your tutor if you need another go.' / 'You can retake this in 2h',2,,TakeAssessment.tsx:248-251,Big icon plus 'Ask a grown-up' instead of a sentence,,1
C1-11,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,flashcards/ReviewSession.tsx,Flashcard rating,Rating uses 'Again / Hard / Good / Easy' and keyboard hints; a 6-year-old can't self-grade,2,,flashcards/StudentFlashcards.tsx:139; ReviewSession.tsx:42,Kid mode: 3 faces (try again / nearly / got it) and spoken card text,,1
C1-12,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,After finishing,No 'what next' after a quiz/homework; only 'Back to quizzes' / 'Retake'. The all-done card appears on Home only when every quiz is done,3,,TakeAssessment.tsx:246-251; StudentHome.tsx:252-259,Reuse Home's `step` to show one big 'Next: Flashcards' button on every end screen,,1
C1-13,C1 Year 1-2 child,S5,/custdash/learninghub?child=…,homework/StudentHomework.tsx,Cross-tab link,goToTab clicks hidden buttons by regex; failure text is 'Open the Flashcards tab at the top of this page.',2,,StudentHomework.tsx:181; teachKit.tsx:310,Use the shell's go('flashcards'); no reading-only fallback,,1
C1-14,C1 Year 1-2 child,S1,/custdash/learninghub?child=…,shared-assess/TakeAssessment.tsx,Quiz progress,Progress is 11.5px grey text ('Question 3 of 10 · 2 answered') and small number chips,1,,"TakeAssessment.tsx:274,310",Show a big bar or stars filling instead,,1
C1-15,C1 Year 1-2 child,S2,/custdash/learninghub?child=…,shared-assess/QuestionView.tsx,Type/write questions,Typed or written answers need reading and typing ('Write your answer here. Your tutor will read and mark it.'),2,,"QuestionView.tsx:114,121,130",Kid mode: photo or voice answer; or skip written questions for pre-readers,,1
C2-01,C2,3 join live lesson,/custdash/learninghub?child=..(kid),features/learninghub/family/KidMode.tsx,Home next-lesson Join button,Join lesson does nothing: go('live') is blocked because live is not in KID_TABS so the hub falls back to home,4,weekly,KidMode.tsx:15 KID_TABS lacks live; LearningHubApp.tsx:85 forces home; StudentHome.tsx:150 onGo go('live'),Add live to KID_TABS or open the lobby directly from Join; keep the Grown-ups gate for exit only,child,1
C2-02,C2,4 see progress,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,How I'm doing card,See progress button goes to dashboard which is not a kid tab so nothing happens; hero also says 'Take a look at your progress',3,daily,StudentHome.tsx:243 go('dashboard'); :222 empty action; :132 hero text; KidMode.tsx:15,Add a simple kid 'My progress' tab or remove the button and text in kid mode,child,1
C2-03,C2,1 what now,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,Home layout,"The real next step 'Keep going' is the last block; 8+ blocks and ~200 words before first action and four competing buttons (Join, Review now, Open, Start quiz)",3,daily,StudentHome.tsx:124 hero .. :252 Keep going; first task button at :157 Review now,Move Keep going (or a single Do this now) to the top and shrink hero to greeting + streak,child,1
C2-04,C2,4 see progress,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,My level vs How I'm doing,Contradictory numbers: My level 75% (mean) vs ring 78% (strongest subject) vs 'No results yet' beside them,3,daily,"01c-data-truth.md s3.2 s3.4; StudentHome.tsx:213,224; Attainment.tsx",Show one named number or none; hide How I'm doing when no results; kid Home shows streak and count this week,child,1
C2-05,C2,2 wrong answers,quiz result,features/learninghub/shared-assess/ResultView.tsx,Result banner and tiles,"Three phrasings for a miss (Not yet / Not quite / Not there yet), red warning triangle and huge score ring on a low score; answer key may be hidden by tutor rule",2,weekly,"ResultView.tsx:112,194,220; StudentHome.tsx:266-270",One phrase 'Not yet' with sparkle icon not warning; lead with what to retry; show explanation by default for children,child,1
C2-06,C2,curriculum,Notes tab,features/learninghub/curriculum/CurriculumCard.tsx,What I've covered,"Adult grid: '% of the curriculum touched', 'topics started', Y1-Y6 columns; a low percent looks like I'm behind",2,weekly,"CurriculumCard.tsx:92,135,149,170",Kid mode: only 'You finished N lessons' and a tick list of topics; hide grid and percent,child,1
C2-07,C2,6 message tutor,Messages tab,features/learninghub/QuestionsPanel.tsx,New message composer,"No line saying who can read the message, no 'tell a grown-up if unsafe' and no grown-up route; Ask your tutor link is hidden in kid mode",3,rare,QuestionsPanel.tsx:352 placeholder only; FamilyContext.tsx:147; StudentHome.tsx:104,Add one-line visibility and safety text under composer plus Talk to a grown-up button opening the gate,child,1
C2-08,C2,5 finished early,/custdash/learninghub?child=..(kid),features/learninghub/home/StudentHome.tsx,All done state,Passive 'Every quiz done - brilliant' text; progress link dead; Tools not reachable in kid mode; nothing to do next,2,weekly,"StudentHome.tsx:132,266; KidMode.tsx:15 (no tools)",Show 3 bonus buttons: flashcards / redo a missed quiz / read a lesson,child,1
C2-09,C2,1 what now,tab strip,features/learninghub/HubTabs.tsx,Tabs in kid mode,"7 text tabs (Starting quiz, Notes, Quizzes, Homework, Flashcards, Messages, Home) with no icons or read-aloud; heavy for age 8; quizzes list has Locked / Finish a lesson to unlock groups",2,daily,"KidMode.tsx:15,20; StudentAssess.tsx:176,349",Icon + colour on tabs; hide Starting quiz tab unless a quiz needs it,child,1
