id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence(file:line or screenshot),suggested_fix,burden_type(tutor|child|parent|admin)
"T1-01","T1","#2","/freelancer/learninghub?tab=homework","homework/MarkDialog.tsx","Mark dialog","No batch marking: each hand-in is opened, scored and saved one at a time; 'Out of' defaults to 10 and is not remembered per homework","3","daily","MarkDialog.tsx:46,81,131-137","Add 'Full marks' shortcut, remember Out-of per homework, allow marking from the list row","tutor"
"T1-02","T1","#2","/freelancer/learninghub?tab=quizzes (Marking)","quiz/MarkingQueue.tsx","Marking queue","Hand-ins, written quiz answers and placement papers are three separate marking places with two different UIs","3","daily","TutorHome.tsx:168-170; MarkingQueue.tsx:24-83","One 'Mark queue' listing all three kinds","tutor"
"T1-03","T1","#2","/freelancer/learninghub?tab=home","home/TutorHome.tsx","Needs your attention","'Overdue homework' row goes to the Homework tab which auto-selects 'To mark', so overdue items are not shown; nothing to chase or remind","3","daily","TutorHome.tsx:171; TutorHomework.tsx:81-85","Pass a filter (assigned+overdue) with the tab jump; add a 'Remind' action on overdue rows","tutor"
"T1-04","T1","#2","/freelancer/learninghub?tab=home","home/TutorHome.tsx","Needs your attention","Badge '23 things' adds papers, child-homework pairs and people; written count can under-report (300-attempt slice)","2","daily","TutorHome.tsx:146,166; 01c-data-truth 1.2","Pass ?status=pending_marking; count one unit","tutor"
"T1-05","T1","#8","/freelancer/learninghub?tab=home","home/ClassSnapshot.tsx","Needs a nudge card","'Needs a nudge' row's chip says 'Assign' and only jumps to the Homework tab (no form, no student); does not help contact the child or parent","3","weekly","ClassSnapshot.tsx:156-168; TutorHome.tsx:195","Open a prefilled message to that child; rename chip to 'Message'","tutor"
"T1-06","T1","#8","/freelancer/learninghub?tab=questions","QuestionsPanel.tsx","New message composer","Only a blank message into the child's thread; no kind template and no visible statement that the parent is told","3","weekly","QuestionsPanel.tsx:348-352; doubtsApi.ts:111","Prefilled friendly check-in text and 'Parent is notified' line","parent"
"T1-07","T1","#8","/freelancer/learninghub?tab=home","home/TutorHome.tsx","Quiet row","'Quiet for 14+ days' opens Students unfiltered; no highlight of the quiet children","2","weekly","TutorHome.tsx:172","Filter/highlight the quiet students on arrival","tutor"
"T1-08","T1","#8","/freelancer/learninghub?tab=home","home/ClassSnapshot.tsx","Nudge wording","'Quiet'/'Needs a nudge' label reads blame-y; 'quiet' includes kids who never opened assigned work","2","weekly","TutorHome.tsx:101,127; 01c-data-truth 1.2","Neutral wording ('Check in') and correct definition","tutor"
"T1-09","T1","#1","/freelancer/learninghub?tab=home","HubHero.tsx","Hero stat tiles","4 vanity stat tiles and lede push Next lesson and Attention down (about 90 words) at 6:55pm","3","daily","HubHero.tsx:129-157","Hide/collapse tiles on Home by default; put Next lesson first","tutor"
"T1-10","T1","#1","/freelancer/learninghub?tab=home","home/NextLesson.tsx","Next lesson hero","'Start lesson' only switches to the Live tab; 3-4 taps to be in the room; no per-student prep (last score, homework status)","3","daily","TutorHome.tsx:163; NextLesson.tsx:99-110,144","Open the Lobby directly; show 1 line per student","tutor"
"T1-11","T1","#1","/freelancer/learninghub?tab=home","LearningHubApp.tsx","First load","35-40 s to first content, 'Checking access...' then skeleton; each tab switch shows a skeleton again (only Lessons stays mounted)","3","daily","screenshots/before/NOTES.md; LearningHubApp.tsx:263","Cache last Home data; stale-while-revalidate per tab","tutor"
"T1-12","T1","#3","/freelancer/learninghub?tab=homework","homework/hwPack.tsx","Base it on a lesson","Search returns 6 titles only, no year/subject/topic; cannot verify Year 4/5; no 'show more'","3","weekly","hwPack.tsx:30,45","Show year + topic + question count, add year chips","tutor"
"T1-13","T1","#3","/freelancer/learninghub?tab=homework","homework/hwPickers.tsx","Attach a quiz","Quiz search has no year filter; dropdown shows title + question count only; no preview inside the form","2","weekly","hwPickers.tsx:31,55","Year filter and Preview link beside the picker","tutor"
"T1-14","T1","#3","/freelancer/learninghub?tab=homework","homework/HomeworkForm.tsx","Due date","Full form uses a native date input (default 7 days); 'Tomorrow' chips exist only in the lesson mini-form","3","weekly","HomeworkForm.tsx:168-169; HomeworkForLesson.tsx:92-97","Add Tomorrow/3 days/1 week chips","tutor"
"T1-15","T1","#3","/freelancer/learninghub?tab=homework","homework/HomeworkForm.tsx","Form length","Nine fields, two similar lesson searches ('Base it on a lesson' vs 'Link lessons (optional)'); about 200 words of labels","2","weekly","HomeworkForm.tsx:151-245","Fold optional fields under 'More options'","tutor"
