id,persona,scenario,route,component_file,screen_area,friction,severity(1-4),frequency(daily/weekly/rare),evidence,suggested_fix,burden_type(tutor|child|parent|admin)
C4-01,C4,2,/custdash/learninghub?child=,features/learninghub/shared-assess/TakeAssessment.tsx,quiz timer,"Live countdown pill turns red under 60s and answers auto-submit at zero; leaving keeps the clock running; child cannot switch it off",4,weekly,"TakeAssessment.tsx:225,260,277-279,287,354","Per-child 'no timer' option set by tutor/parent; show time as a quiet static hint, no red, no auto-submit",child
C4-02,C4,b,/custdash/learninghub?child=,features/learninghub (whole),read-aloud,"No speechSynthesis or read-aloud button on Home, quiz, lesson or homework; only tool X-08 which kid mode cannot reach",4,daily,"registryData.ts:182; grep found no speechSynthesis; KID_TABS omits tools (KidMode.tsx:15)","Add a speaker button to prompts, feedback and Home cards (browser TTS), switchable in Comfort settings",child
C4-03,C4,b,/custdash/learninghub?child=,features/learninghub/tools/english/readingOptions.tsx,reading settings,"Text size and line spacing exist only inside writing tools and reset every visit; no global font/colour/spacing control",3,daily,"readingOptions.tsx:6 'Local to the component; nothing stored'","Store a per-child reading profile behind the Grown-ups gate and apply hub-wide",parent
C4-04,C4,1,/custdash/learninghub?child=,features/learninghub/home/StudentHome.tsx,home,"Home has about 9 blocks and 3 competing CTAs (Review now, homework rows, Keep going) with 11-13px grey text and staggered entrance animation",3,daily,"StudentHome.tsx:124-262,138,235","Kid mode: one 'Do this next' card first (use d.step), rest under 'More'",child
C4-05,C4,2,/custdash/learninghub?child=,features/learninghub/homework/StudentHomework.tsx,homework due state,"Red 'Overdue', 'Overdue by N days', warning triangle, red 'Handed in late' badge and '2 overdue' tile read as blame",3,weekly,"hwTypes.ts:44; StudentHomework.tsx:71-72,83,104,190,333","Kid wording 'Waiting for you' / 'Due Tuesday', gold not red, drop 'late' badge in kid mode",child
C4-06,C4,2,/custdash/learninghub?child=,features/learninghub/shared-assess/ResultView.tsx,result review,"Red '✗ Not quite' chip, '0 / 1 marks', percentages and 'N points short of the 70% pass mark' shown for every question at once",3,weekly,"ResultView.tsx:126,194,208","Kid result: ring + one sentence + 'Look back' button; use 'Try again' chip in blue; hide marks",child
C4-07,C4,2,/custdash/learninghub?child=,features/learninghub/lesson/LessonPlayer.tsx,lesson XP and streak,"XP chip, in-lesson streak that resets on a wrong answer, confetti bursts; red-soft 'Not quite' box for mistakes",2,weekly,"LessonPlayer.tsx:252-258,292; WarmupStep.tsx:113-114; DoneStep.tsx:61","Calm mode setting hides XP, streak reset and confetti; never reset visibly",child
C4-08,C4,2,/custdash/learninghub?child=,features/learninghub/flashcards/fcTypes.ts,flashcard rating,"Rating labels 'Again / Hard / Good / Easy' with hints 'Didn't know it' / 'Too easy' and keyboard shortcut hints; 'Again' is red",2,daily,"fcTypes.ts:20-23; ReviewSession.tsx:169","Kid labels with icons: 'Show me again' / 'Tricky' / 'Got it'; no red",child
C4-09,C4,a,/custdash/learninghub?child=,features/learninghub/home/homeKit.tsx,error copy,"Errors show 'Couldn't load {what} — {message}' and 'A rating didn't save'; developer text can leak; scary auto-submit failure text",2,rare,"homeKit.tsx:130; ReviewSession.tsx:73,130; TakeAssessment.tsx:132","One kid error: 'Oops, that didn't work. Nothing is lost. [Try again]'; hide raw message",child
C4-10,C4,4,/custdash/learninghub?child=,features/learninghub/family/KidMode.tsx,navigation,"'See progress' targets the dashboard tab but KID_TABS excludes it so kid mode redirects to Home; tools tab unreachable so no 'finished early' options",2,weekly,"KidMode.tsx:15,20; LearningHubApp.tsx:85; StudentHome.tsx:243","Add a simple kid 'My stars' view or remove the button; add Free choice card when allDone",child
C4-11,C4,4,/custdash/learninghub?child=,features/learninghub/home/StudentHome.tsx,progress display,"Percentages, 'Focus next' weakest-topic label and 'Based on 3 of 8 topics practised' can feel like a scorecard",2,weekly,"StudentHome.tsx:235,241,296","Show bands/stars only; rename to 'Try next'",child
C4-12,C4,b,/custdash/learninghub?child=,features/learninghub (settings),controls,"No per-child switch for timers, scores, streak, motion; only OS reduced-motion; child has no control at all",3,daily,"motion.tsx:17-20; brief 8.3 lists as principle","Comfort panel behind Grown-ups gate (parent) with tutor default",tutor
