id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type
P1-01,P1,1 week/overdue,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Home parent summary,No on-track/overdue verdict; summary counts done items only and overdue is only in the Homework card lower down,4,daily,StudentHome.tsx:106-118 vs :180-200,Lead the "this week" strip with "1 homework overdue (title)" or "Nothing overdue",parent
P1-02,P1,1 week/overdue,/custdash/learninghub,features/learninghub/LearningHubApp.tsx,Home layout on phone,Parent summary sits below hero + FamilyBar + tabs; then a child-addressed hero ("Good morning Ava. You have...") so parent must translate,3,daily,LearningHubApp.tsx:232-247; StudentHome.tsx:132-135,Collapse hero on Home for parents or move the summary above the tabs,parent
P1-03,P1,3b notifications,server,server/src/lib/hubNotify.ts,Notification triggers,Only tutor actions notify; nothing for overdue homework / lesson starting soon / child not logged in; notify.ts advertises "new notes" but no trigger,4,weekly,hubNotify.ts callers in SRV/homeworkApi.ts lessonsApi.ts doubtsApi.ts attempts.ts inPersonApi.ts; notify.ts:50-51,Add "due tomorrow/overdue" and "lesson in 1 hour" notices,parent
P1-04,P1,3 contact,server,server/src/routes/hub/doubtsApi.ts,Tutor reply notification,Only the first tutor reply notifies; follow-up replies are silent,3,weekly,doubtsApi.ts:177-179 firstReply,Notify on every tutor reply (or batch per thread per hour),parent
P1-05,P1,3 contact,/custdash/messages,features/learninghub/family/FamilyContext.tsx,Ask your tutor,"Ask your tutor leaves hub to portal messages while replies show in hub Messages tab: two inboxes; no route for cancel/problem/billing/urgent",3,rare,LearningHubApp.tsx:211; QuestionsPanel.tsx:265; FamilyContext.tsx:136-139,One inbox; compose chooser (question / can't attend / other) and show tutor contact if set,parent
P1-06,P1,3b notifications,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Email mute toggle,Single "learning" category: muting noise also mutes cancellations and time changes; toggle hidden under summary and names only one child,2,rare,StudentHome.tsx:281-283; notify.ts:332,Split changes (never mute) from reminders/marks; move to settings link,parent
P1-07,P1,3b notifications,server,server/src/routes/hub/homeworkApi.ts,New homework wording,"Plural grammar: ""Ava and Leo has new homework""; lesson-reopened wording is child-facing ('rejoin')",1,weekly,homeworkApi.ts:137; lessonsApi.ts:401,Use "have" for plural names; simplify reopened,parent
P1-08,P1,3b notifications,server,server/src/routes/hub/lessonsApi.ts,Time-change notice,Change notice gives new time only (not old); times hard-coded Europe/London,2,rare,lessonsApi.ts:97; :343,"Say ""moved from X to Y""",parent
P1-09,P1,3c kid mode,/custdash/learninghub,features/learninghub/family/FamilyContext.tsx,Hand over pill,Explanation ("needs a grown-up to leave") is hidden on phones; hand-over fires instantly with no confirm; kid tabs exclude Live so child can't join video from kid mode,3,weekly,FamilyContext.tsx:114; KidMode.tsx:15,One-time confirm sheet explaining how to leave; add Live/Join to kid tabs,parent
P1-10,P1,3c gate,/custdash/learninghub,features/learninghub/family/ParentGate.tsx,Grown-ups gate,"13-19 x 6-9 mental sum is heavy on a commute; copy says ""the family menu""",2,weekly,ParentGate.tsx:10-11; :27,Easier sum (e.g. 47 + 38) and copy "back to the app",parent
P1-11,P1,3d curriculum,/custdash/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,"""What I've covered""",Child-voice title read by parent; lives in Lessons tab not Progress; grid Y1-Y6 scrolls sideways; given/assigned/to go vocabulary; finished depends on quiz hand-in,2,rare,CurriculumCard.tsx:92; NotesPanel.tsx:646; legend ~:170,Third-person title for parent and surface it in Progress,parent
P1-12,P1,3a two children,/custdash/learninghub,features/learninghub/HubHero.tsx,Child switch,"No cross-child glance (overdue/unread dot on other pill); default child is unconfirmed with no prompt; multi-child emails open last-picked child",2,daily,HubHero.tsx:88-97; useHubData.ts:59; hubNotify.ts:66,Badge on the other child's pill; carry child= where possible,parent
P1-13,P1,2 next lesson,/custdash/learninghub?tab=live,features/learninghub/live/Lobby.tsx,Join lobby,"Camera help says click padlock at address bar (desktop wording); pre-window button is ""Lesson details"" not a dated Join; countdown built for child (ticking secs)",2,weekly,Lobby.tsx:212-214; NextLesson.tsx:138-145,Phone-specific permission help; show day+time large above countdown,parent
P1-14,P1,2 next lesson,/custdash/learninghub,features/learninghub/remotesync/JoinRemoteSyncBanner.tsx,Live banner,"Child-voice: ""Your tutor has started X - join now"" button ""Start""",1,rare,JoinRemoteSyncBanner.tsx:69-71,Parent-safe wording when not in kid mode,parent
P1-15,P1,1 week/overdue,/custdash/learninghub,features/learninghub/home/StudentHome.tsx,Latest results / mastery,Mastery % can show while Latest results empty and % has no plain meaning (data-truth row 2),3,weekly,01c-data-truth.md row 2; StudentHome.tsx:212-247,One attempt source; caption "78% = mostly secure",parent
